nominal_head_id,nominal_head_lemma,nominal_head_upos,dependent_id,dependent_lemma,dependent_upos,dependent_deprel,distance,position,num_dependents_nominal,num_dependents_dependent,ezafe_label,is_verbal,source_file
3.0,and,PRON,2.0,ēn,DET,det,1.0,before,1,1,2,0,Col_RFS_TD2.conllu
4.0,farrahsrōš,PROPN,6.0,wahrāmān,PROPN,nmod,2.0,after,1,2,1,0,Col_RFS_TD2.conllu
6.0,wahrāmān,PROPN,5.0,ī,DET,det,1.0,before,1,1,2,0,Col_RFS_TD2.conllu
9.0,sāl,NOUN,8.0,pad,ADP,case,1.0,before,3,1,2,0,Col_RFS_TD2.conllu
9.0,sāl,NOUN,11.0,se-sad-haftād-haft,NUM,nummod,2.0,after,3,2,1,0,Col_RFS_TD2.conllu
9.0,sāl,NOUN,13.0,pārsīg,ADJ,amod,4.0,after,3,2,1,0,Col_RFS_TD2.conllu
16.0,sāl,NOUN,14.0,pas,ADV,advmod:tim,2.0,before,4,1,2,0,Col_RFS_TD2.conllu
16.0,sāl,NOUN,15.0,az,ADP,case,1.0,before,4,1,2,0,Col_RFS_TD2.conllu
16.0,sāl,NOUN,17.0,wīst,NUM,nummod,1.0,after,4,1,2,0,Col_RFS_TD2.conllu
16.0,sāl,NOUN,20.0,yazdgerd,PROPN,nmod,4.0,after,4,3,2,0,Col_RFS_TD2.conllu
19.0,bay,NOUN,18.0,ōy,DET,det,1.0,before,1,1,2,0,Col_RFS_TD2.conllu
20.0,yazdgerd,PROPN,19.0,bay,NOUN,nmod,1.0,before,2,2,2,0,Col_RFS_TD2.conllu
20.0,yazdgerd,PROPN,23.0,šāh,NOUN,appos,3.0,after,2,4,1,0,Col_RFS_TD2.conllu
23.0,šāh,NOUN,21.0,ī,DET,det,2.0,before,3,1,2,0,Col_RFS_TD2.conllu
23.0,šāh,NOUN,22.0,šāh,NOUN,nmod,1.0,before,3,1,2,0,Col_RFS_TD2.conllu
23.0,šāh,NOUN,24.0,nāfag,NOUN,conj,1.0,after,3,2,2,0,Col_RFS_TD2.conllu
24.0,nāfag,NOUN,27.0,husraw,PROPN,nmod,3.0,after,1,5,1,0,Col_RFS_TD2.conllu
27.0,husraw,PROPN,25.0,ī,DET,det,2.0,before,4,1,2,0,Col_RFS_TD2.conllu
27.0,husraw,PROPN,26.0,ōy,DET,det,1.0,before,4,1,2,0,Col_RFS_TD2.conllu
27.0,husraw,PROPN,30.0,šāh,NOUN,appos,3.0,after,4,3,1,0,Col_RFS_TD2.conllu
27.0,husraw,PROPN,32.0,ohrmazdān,PROPN,nmod,5.0,after,4,2,1,0,Col_RFS_TD2.conllu
30.0,šāh,NOUN,28.0,ī,DET,det,2.0,before,2,1,2,0,Col_RFS_TD2.conllu
30.0,šāh,NOUN,29.0,šāh,NOUN,nmod,1.0,before,2,1,2,0,Col_RFS_TD2.conllu
32.0,ohrmazdān,PROPN,31.0,ī,DET,det,1.0,before,1,1,2,0,Col_RFS_TD2.conllu
